"Född i Sverige eller utlandet 2008-2015"

"Område","Ålder","Kön","Född i Sverige 2008","Född i Sverige 2009","Född i Sverige 2010","Född i Sverige 2011","Född i Sverige 2012","Född i Sverige 2013","Född i Sverige 2014","Född i Sverige 2015","Född i utlandet 2008","Född i utlandet 2009","Född i utlandet 2010","Född i utlandet 2011","Född i utlandet 2012","Född i utlandet 2013","Född i utlandet 2014","Född i utlandet 2015"
"140 Norra Hisingen","85- år","Man",314,313,308,324,328,330,324,335,33,34,32,36,41,46,54,64
"140 Norra Hisingen","85- år","Kvinna",688,691,689,698,660,647,632,647,86,92,97,95,97,95,103,107
"199 Ospecificerat Göteborg","0 år","Man",..,..,5,..,6,6,..,..,..,..,..,..,..,..,..,..
"199 Ospecificerat Göteborg","0 år","Kvinna",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"199 Ospecificerat Göteborg","1-5 år","Man",19,21,17,19,17,21,19,21,..,..,..,..,..,..,..,..
"199 Ospecificerat Göteborg","1-5 år","Kvinna",16,19,16,19,9,16,16,14,..,..,..,..,..,..,7,..
"199 Ospecificerat Göteborg","6-15 år","Man",22,19,21,23,25,31,33,33,..,..,5,..,6,7,8,10
"199 Ospecificerat Göteborg","6-15 år","Kvinna",32,29,31,25,24,25,29,32,8,7,8,8,12,8,9,12
"199 Ospecificerat Göteborg","16-18 år","Man",5,..,8,6,..,6,8,5,..,..,..,..,..,..,..,..
"199 Ospecificerat Göteborg","16-18 år","Kvinna",..,5,6,6,8,8,6,10,..,6,7,..,8,6,..,6
"199 Ospecificerat Göteborg","19-24 år","Man",24,21,18,22,25,31,31,39,23,26,22,20,23,37,33,38
"199 Ospecificerat Göteborg","19-24 år","Kvinna",15,14,5,8,13,17,19,24,25,21,18,20,21,28,19,19
"199 Ospecificerat Göteborg","25-44 år","Man",246,192,145,159,189,204,223,209,217,195,165,183,220,282,263,299
"199 Ospecificerat Göteborg","25-44 år","Kvinna",89,71,51,46,74,89,65,67,63,72,68,76,88,94,89,97
"199 Ospecificerat Göteborg","45-64 år","Man",299,250,234,248,278,282,253,225,144,128,106,117,129,186,162,161
"199 Ospecificerat Göteborg","45-64 år","Kvinna",72,63,51,50,53,60,63,58,23,21,19,28,37,51,45,46
